name,Modification,Chassis ID,Engine,Drive
HONDA ,2.0VTS,"LA-,CL3",F20B,FF
EUNOS ,SR-LIMITED,"E-,NA8C",BP-ZE[RS],FR
HONDA ,2.0VTS LEATHER PACKAGE,"LA-,CL3",F20B,FF
HONDA ,2.0VTS LEATHER PACKAGE,"LA-,CL3",F20B,FF
HONDA ,2.0VTS,"LA-,CF5",F20B,Full-time 4WD
HONDA ,2.0VTS LEATHER PACKAGE,"LA-,CF5",F20B,Full-time 4WD
HONDA ,2.0VTS F TYPE,"LA-,CF5",F20B,Full-time 4WD
EUNOS ,SR-LIMITED,"E-,NA8C",BP-ZE[RS],FR
EUNOS ,VR-LIMITED COMBINATION A,"E-,NA8C",BP-ZE[RS],FR
EUNOS ,VR-LIMITED COMBINATION B,"E-,NA8C",BP-ZE[RS],FR
EUNOS ,NORMAL BASE,"E-,NA8C",BP-ZE[RS],FR
EUNOS ,M PACKAGE,"E-,NA8C",BP-ZE[RS],FR
HONDA ,1.8VTS,"GH-,CF3",F18B,FF
HONDA ,1.8VTS,"GH-,CF3",F18B,FF
HONDA ,1.8VTE,"GH-,CF3",F18B,FF
HONDA ,1.8VTE,"GH-,CF3",F18B,FF
HONDA ,EURO R,"GH-,CL1",H22A,FF
HONDA ,SIR,"GH-,CF4",F20B,FF
TOYOTA ,AS300,"TA-,JCE15W",2JZ-GE,Full-time 4WD
EUNOS ,M PACKAGE,"E-,NA8C",BP-ZE[RS],FR
EUNOS ,SPECIAL PACKAGE,"E-,NA8C",BP-ZE[RS],FR
EUNOS ,SPECIAL PACKAGE,"E-,NA8C",BP-ZE[RS],FR
EUNOS ,V SPECIAL,"E-,NA8C",BP-ZE[RS],FR
HONDA ,SIR S PACKAGE,"GH-,CF4",F20B,FF
HONDA ,2.0VTS,"LA-,CL3",F20B,FF
HONDA ,2.0VTS,"LA-,CL3",F20B,FF
HONDA ,2.0VTS LEATHER PACKAGE,"LA-,CL3",F20B,FF
HONDA ,2.0VTS LEATHER PACKAGE,"LA-,CL3",F20B,FF
HONDA ,2.0VTS F TYPE,"LA-,CF5",F20B,Full-time 4WD
HONDA ,2.0VTS,"LA-,CF5",F20B,Full-time 4WD
HONDA ,LOWDOWN MATAL,"GF-,RH1",B20B,FF
TOYOTA ,AS300 L EDITION,"TA-,JCE15W",2JZ-GE,Full-time 4WD
TOYOTA ,AS300,"TA-,JCE10W",2JZ-GE,FR
TOYOTA ,AS300 L EDITION,"TA-,JCE10W",2JZ-GE,FR
TOYOTA ,AS200,"TA-,GXE15W",1G-FE,Full-time 4WD
TOYOTA ,AS200 Z EDITION,"TA-,GXE15W",1G-FE,Full-time 4WD
TOYOTA ,AS200 L EDITION,"TA-,GXE15W",1G-FE,Full-time 4WD
EUNOS ,V SPECIAL,"E-,NA8C",BP-ZE[RS],FR
HONDA ,2.0VTS LEATHER PACKAGE,"LA-,CF5",F20B,Full-time 4WD
HONDA ,1.8VTS,"GH-,CF3",F18B,FF
HONDA ,1.8VTS,"GH-,CF3",F18B,FF
HONDA ,1.8VTE,"GH-,CF3",F18B,FF
HONDA ,1.8VTE,"GH-,CF3",F18B,FF
HONDA ,EURO R,"GH-,CL1",H22A,FF
HONDA ,CLEAN TOURING,"GH-,CF4",F20B,FF
HONDA ,CLEAN TOURING,"GH-,CF4",F20B,FF
HONDA ,LOWDOWN,"GF-,RH1",B20B,FF
HONDA ,LOWDOWN,"GF-,RH1",B20B,FF
HONDA ,CUSTOM BASIC,"GF-,RH1",B20B,FF
HONDA ,BASEGRADE,"GF-,RH1",B20B,FF
HONDA ,BASEGRADE,"GF-,RH2",B20B,Full-time 4WD
HONDA ,LOWDOWN,"GF-,RH1",B20B,FF
HONDA ,LOWDOWN,"GF-,RH1",B20B,FF
TOYOTA ,AS200,"TA-,GXE10W",1G-FE,FR
TOYOTA ,AS200 Z EDITION,"TA-,GXE10W",1G-FE,FR
TOYOTA ,AS200 L EDITION,"TA-,GXE10W",1G-FE,FR
TOYOTA ,AS200 WISE SELECTION III,"TA-,GXE10W",1G-FE,FR
TOYOTA ,AS200 WISE SELECTION III,"TA-,GXE15W",1G-FE,Full-time 4WD
TOYOTA ,AS200 WISE SELECTION III NAVI PACKAGE,"TA-,GXE10W",1G-FE,FR
TOYOTA ,AS200 WISE SELECTION III NAVI PACKAGE,"TA-,GXE15W",1G-FE,Full-time 4WD
EUNOS ,V SPECIAL TYPEII,"E-,NA8C",BP-ZE[RS],FR
EUNOS ,V SPECIAL TYPEII,"E-,NA8C",BP-ZE[RS],FR
EUNOS ,S SPECIAL TYPEI,"E-,NA8C",BP-ZE[RS],FR
EUNOS ,S SPECIAL TYPEII,"E-,NA8C",BP-ZE[RS],FR
EUNOS ,R2-LIMITED,"E-,NA8C",BP-ZE[RS],FR
EUNOS ,B2-LIMITED,"E-,NA8C",BP-ZE[RS],FR
EUNOS ,B2-LIMITED,"E-,NA8C",BP-ZE[RS],FR
HONDA ,CLEAN TOURING,"GH-,CF5",F20B,Full-time 4WD
HONDA ,SIR-T,"GF-,CF4",F20B,FF
HONDA ,SIR-T S PACKAGE,"GF-,CF4",F20B,FF
HONDA ,SIR,"GF-,CF4",F20B,FF
HONDA ,SIR S PACKAGE,"GF-,CF4",F20B,FF
HONDA ,2.0VTS,"GF-,CF4",F20B,FF
HONDA ,2.0VTS,"GF-,CF4",F20B,FF
HONDA ,BASEGRADE,"GF-,RH1",B20B,FF
HONDA ,BASEGRADE,"GF-,RH2",B20B,Full-time 4WD
HONDA ,LOWDOWN NAVI PACKAGE,"E-,RH1",B20B,FF
HONDA ,WHITE PACKAGE,"E-,RH1",B20B,FF
HONDA ,LOWDOWN,"E-,RH1",B20B,FF
HONDA ,BASEGRADE,"E-,RH1",B20B,FF
TOYOTA ,AS300,"TA-,JCE15W",2JZ-GE,Full-time 4WD
TOYOTA ,AS300 L EDITION,"TA-,JCE15W",2JZ-GE,Full-time 4WD
TOYOTA ,AS300,"TA-,JCE10W",2JZ-GE,FR
TOYOTA ,AS300 L EDITION,"TA-,JCE10W",2JZ-GE,FR
TOYOTA ,AS200,"TA-,GXE15W",1G-FE,Full-time 4WD
TOYOTA ,AS200 Z EDITION,"TA-,GXE15W",1G-FE,Full-time 4WD
EUNOS ,NORMAL BASE,"E-,NA8C",BP-ZE[RS],FR
EUNOS ,M PACKAGE,"E-,NA8C",BP-ZE[RS],FR
