scrape_date,website_url,Product_ID,GTIN,Brand,product,price,pack_size,multibuy_deal_quantity,multibuy_deal_price,undiscounted_price,delivery_available,review_rating,review_count,style,type,packaging,standard_drinks,alcohol_content,organic,origin
10/8/2021,https://www.liquorland.com.au/beer/carlton-draught-can-375ml_82891,82891,9.32E+12,Carlton,Draught Can 375mL,59,Pack (24),,,,TRUE,5,1,Draught,Draught,Can,1.4,4.60%,No,Australia
10/8/2021,https://www.liquorland.com.au/beer/tinnies-ipa-can-375ml_4225975,4225975,9.31394E+12,Tinnies,IPA Can 375mL,53,Pack (16),,,56,TRUE,3.7,3,IPA,IPA,Can,2.1,7.00%,No,Australia
10/8/2021,https://www.liquorland.com.au/beer/coopers-mild-ale-bottle-375ml_4298888,4298888,9.31044E+12,Coopers,Mild Ale Bottle 375mL,50,Pack (24),,,,TRUE,5,1,Ale,Mid Strength,Bottle,1.1,3.50%,No,Australia
10/8/2021,https://www.liquorland.com.au/beer/summer-bright-lime-bottle-330ml_2124456,2124456,9.31088E+12,Summer Bright,Lime Bottle 330mL,47,Pack (24),,,,TRUE,,0,,,Bottle,1.1,4.00%,No,Australia
10/8/2021,https://www.liquorland.com.au/beer/fat-pixie-hard-ginger-beer-can-375ml_3218748,3218748,9.32396E+12,Fat Pixie,Hard Ginger Beer Can 375mL,57,Pack (24),,,,TRUE,3.8,15,,,Can,2.4,8.00%,No,Australia
10/8/2021,https://www.liquorland.com.au/beer/tsingtao-bottle-330ml_382823,382823,6.90104E+12,Tsingtao,Bottle 330mL,50,Pack (24),,,58,TRUE,4.7,3,Lager,Lager,Bottle,1.2,4.50%,No,China
10/8/2021,https://www.liquorland.com.au/beer/hoegaarden-white-bottle-330ml_523912,523912,5.41023E+12,Hoegaarden,White Bottle 330mL,67,Pack (24),,,,TRUE,,0,Witbier,Witbier,Bottle,1.4,5.00%,No,Belgium
10/8/2021,https://www.liquorland.com.au/beer/wilde-gluten-free-mid-strength-pale-bottle-330ml_3810787,3810787,9.34786E+12,Wilde,Gluten Free Mid Strength Pale Bottle 330mL,50,Pack (24),,,,TRUE,4.6,8,Mid Strength,Mid Strength,Bottle,1,3.50%,No,Australia
10/8/2021,https://www.liquorland.com.au/beer/mr-finch-pear-cider-bottle-330ml_3026000,3026000,9.31394E+12,Mr Finch,Pear Cider Bottle 330mL,40,Pack (24),,,46,TRUE,4.6,14,Pear Cider,,Bottle,1.2,4.50%,No,Australia
10/8/2021,https://www.liquorland.com.au/beer/coopers-xpa-can-375ml_3640508,3640508,9.31044E+12,Coopers,XPA Can 375mL,64,Pack (24),,,69,TRUE,5,4,Extra Pale Ale,XPA,Can,1.6,5.20%,No,Australia
